Team,Stanley Cup Odds,Pts. O/U,Final Pts.
Anaheim Ducks,+7500,81.5,67 (u)
Arizona Coyotes,+4250,89.5,74 (u)
Boston Bruins,+1025,100.5,100 (u)
Buffalo Sabres,+6600,83.5,68 (u)
Calgary Flames,+1650,96.5,79 (u)
Carolina Hurricanes,+3000,95.5,81 (u)
Chicago Blackhawks,+3250,89.5,72 (u)
Colorado Avalanche,+940,97.5,92 (u)
Columbus Blue Jackets,+5000,83.5,81 (u)
Dallas Stars,+1700,97.5,82 (u)
Detroit Red Wings,+10000,76.5,39 (u)
Edmonton Oilers,+4000,85.5,83 (u)
Florida Panthers,+2200,95.5,78 (u)
Los Angeles Kings,+5500,74.5,64 (u)
Minnesota Wild,+4750,87.5,77 (u)
Montreal Canadiens,+4000,89.5,71 (u)
Nashville Predators,+1450,97.5,78 (u)
New Jersey Devils,+3750,90.5,68 (u)
New York Islanders,+3000,91.5,80 (u)
New York Rangers,+3500,88.5,79 (u)
Ottawa Senators,+32500,70.5,62 (u)
Philadelphia Flyers,+3250,90.5,89 (u)
Pittsburgh Penguins,+2000,95.5,86 (u)
San Jose Sharks,+1800,94.5,63 (u)
St. Louis Blues,+1350,96.5,94 (u)
Tampa Bay Lightning,+675,108.5,92 (u)
Toronto Maple Leafs,+950,102.5,81 (u)
Vancouver Canucks,+4250,87.5,78 (u)
Vegas Golden Knights,+900,101.5,86 (u)
Washington Capitals,+1400,97.5,90 (u)
Winnipeg Jets,+2250,94.5,80 (u)
